tcu_lengths,tcu_words,tcu_syllables
1621.0,5,5
210.0,1,1
1215.0,3,6
372.0,1,1
1859.0,8,9
409.0,2,2
2046.0,6,6
5693.0,21,22
465.0,2,2
4798.0,13,16
1540.0,7,7
234.0,1,1
3472.0,10,13
517.0,1,1
5626.0,16,16
3494.0,9,13
1533.0,6,7
1980.0,8,9
308.0,1,1
3011.0,12,17
770.0,3,3
2200.0,8,9
6187.0,12,22
2716.0,12,15
11408.0,23,29
4797.0,12,16
1004.0,3,5
489.0,2,2
613.0,3,3
2661.0,12,17
439.0,1,1
10386.0,27,36
1121.0,4,5
546.0,2,2
2496.0,8,9
2400.0,8,11
3905.0,12,14
3918.0,13,16
329.0,1,1
1012.0,4,7
135.0,1,1
8759.0,29,39
1214.0,5,8
303.0,1,1
5600.0,21,29
245.0,1,1
332.0,1,1
2841.0,14,15
3365.0,8,9
394.0,2,2
447.0,1,1
404.0,2,2
2645.0,11,15
2650.0,9,13
170.0,1,1
380.0,1,1
1897.0,12,14
3170.0,10,10
1619.0,4,7
753.0,2,4
817.0,4,4
275.0,1,1
1819.0,5,7
247.0,1,1
4745.0,13,17
2845.0,11,13
340.0,1,1
883.0,2,6
7510.0,17,19
506.0,1,1
1148.0,8,9
520.0,1,2
530.0,3,4
470.0,1,2
675.0,2,2
7768.0,21,27
889.0,1,1
2311.0,8,9
646.0,1,1
4245.0,15,18
1537.0,5,6
609.0,1,1
377.0,2,2
260.0,2,2
915.0,3,3
1870.0,6,7
2980.0,12,19
2050.0,8,10
3511.0,10,13
1543.0,7,8
712.0,1,1
3329.0,8,9
3659.0,8,10
1311.0,6,7
264.0,1,1
954.0,3,5
2060.0,5,5
3228.0,7,8
1017.0,3,3
2185.0,9,14
2112.0,9,11
2576.0,9,10
1084.0,1,1
801.0,1,1
1305.0,6,6
2240.0,7,8
1550.0,5,6
3300.0,9,12
1564.0,3,5
3265.0,7,8
3378.0,9,11
2800.0,6,11
3272.0,10,13
1660.0,9,9
1860.0,7,8
489.0,1,1
620.0,2,3
4360.0,15,17
729.0,1,1
781.0,1,1
2985.0,7,9
3160.0,13,17
1249.0,1,1
2580.0,8,8
712.0,2,2
2038.0,7,7
10608.0,31,45
540.0,3,3
544.0,1,1
1342.0,4,6
591.0,1,1
900.0,3,4
2751.0,8,11
3609.0,9,11
10742.0,31,42
2230.0,6,8
270.0,1,1
969.0,1,1
1840.0,9,11
849.0,2,2
1258.0,2,3
1762.0,7,7
6161.0,13,13
2422.0,5,5
1080.0,6,7
1424.0,2,3
1013.0,1,2
2090.0,5,9
472.0,1,1
954.0,2,2
1055.0,4,4
2762.0,9,10
850.0,1,1
783.0,1,3
1785.0,7,8
1190.0,5,5
590.0,2,2
990.0,2,3
8184.0,20,24
1740.0,8,8
1190.0,5,5
2424.0,8,11
633.0,2,2
511.0,1,1
2474.0,11,13
1112.0,1,1
2678.0,6,7
4441.0,15,15
371.0,2,2
1810.0,6,7
219.0,1,1
668.0,1,1
2551.0,5,11
2480.0,11,13
1514.0,1,1
2469.0,7,8
1701.0,7,8
588.0,1,1
242.0,1,1
2220.0,7,8
2622.0,8,11
1040.0,1,1
1179.0,4,4
2645.0,5,5
1443.0,5,5
590.0,2,2
1479.0,2,2
2858.0,7,9
598.0,2,2
545.0,1,1
1587.0,6,7
1140.0,3,3
4898.0,19,23
4600.0,12,17
938.0,4,5
1330.0,6,6
2603.0,8,11
1948.0,6,8
901.0,1,1
8521.0,21,25
5218.0,12,13
644.0,2,2
4085.0,11,13
