turn_lengths,turn_words,turn_syllables,tcus_per_turn
1536.0,1,1,1
501.0,8,11,1
3649.0,4,4,2
755.0,7,13,1
8692.0,2,2,2
5682.0,34,48,3
1707.0,2,2,1
6330.0,4,8,1
17006.0,67,88,3
296.0,1,1,1
5368.0,1,1,1
370.0,14,20,1
10962.0,4,4,1
10299.0,59,73,3
3268.0,1,1,1
350.0,14,14,1
2718.0,1,1,1
1365.0,17,20,4
636.0,1,1,1
14066.0,20,29,2
2960.0,3,2,1
6326.0,26,35,3
6785.0,1,1,1
17396.0,20,29,1
1840.0,2,1,1
22810.0,73,104,4
1067.0,3,3,1
4692.0,15,23,3
2339.0,10,11,3
2500.0,8,14,2
1887.0,4,4,1
19761.0,76,91,5
1223.0,1,1,1
579.0,5,5,1
1141.0,2,2,1
100.0,6,8,1
2807.0,15,18,4
1090.0,2,2,1
3346.0,16,21,2
2654.0,2,2,1
250.0,7,12,1
1003.0,1,1,1
7371.0,33,47,4
1687.0,2,2,1
3454.0,20,31,3
4338.0,2,2,1
3313.0,13,16,1
212.0,8,16,1
4832.0,3,3,2
272.0,14,21,1
4550.0,3,3,2
267.0,18,23,1
2625.0,14,18,3
1658.0,2,2,1
236.0,8,11,1
1979.0,2,2,1
252.0,8,12,1
229.0,2,2,1
5487.0,4,6,2
10568.0,25,40,2
225.0,25,36,2
1833.0,16,20,3
737.0,3,3,2
870.0,2,4,1
9864.0,5,8,1
325.0,25,33,1
3991.0,2,2,1
260.0,11,16,1
1446.0,1,1,1
280.0,7,7,1
3231.0,2,2,1
170.0,16,22,1
856.0,3,3,2
267.0,3,3,1
6453.0,1,1,1
300.0,16,16,1
930.0,2,2,1
8996.0,24,40,3
3587.0,2,2,1
6775.0,26,40,3
388.0,2,2,1
8979.0,29,41,4
3237.0,2,2,1
6698.0,34,50,3
4431.0,3,3,2
584.0,13,14,1
1147.0,2,2,1
773.0,2,5,1
1095.0,6,8,3
300.0,2,2,1
199.0,3,3,1
12894.0,44,61,7
5162.0,6,6,3
310.0,13,16,1
2340.0,2,2,1
244.0,10,13,1
1870.0,2,2,1
445.0,13,18,2
1048.0,2,2,1
233.0,4,5,1
9311.0,27,39,4
5106.0,1,1,1
478.0,21,38,2
6572.0,26,33,4
791.0,2,2,1
264.0,8,11,2
4201.0,1,1,1
8378.0,28,38,3
379.0,17,20,1
3668.0,2,2,1
235.0,9,14,1
1145.0,2,2,1
3214.0,13,17,2
550.0,2,2,1
236.0,2,3,1
2205.0,2,2,1
3605.0,15,23,2
5200.0,2,2,1
500.0,16,27,1
1500.0,3,3,1
7442.0,34,43,3
417.0,7,7,1
970.0,1,1,1
1684.0,4,5,1
2019.0,7,9,1
333.0,6,9,1
5845.0,2,2,1
329.0,16,24,1
5313.0,2,2,1
321.0,10,18,1
4421.0,1,1,1
7028.0,39,57,3
2955.0,2,2,1
2234.0,27,30,2
1042.0,7,7,3
813.0,2,2,1
4083.0,12,18,2
3486.0,2,2,1
295.0,16,24,2
3659.0,2,2,1
260.0,13,20,1
7247.0,4,4,2
302.0,19,28,1
4589.0,2,2,1
264.0,12,24,1
2281.0,2,2,1
244.0,7,11,1
2013.0,2,2,1
364.0,6,6,1
1297.0,1,2,1
290.0,4,6,1
261.0,2,2,1
440.0,3,3,1
2590.0,9,16,3
877.0,1,1,1
2415.0,12,20,2
2180.0,2,2,1
1479.0,16,20,2
5489.0,1,1,1
270.0,17,22,1
499.0,2,2,1
149.0,1,1,1
1285.0,7,8,3
1976.0,6,11,2
254.0,3,3,1
284.0,1,1,1
